platform,video_id,video_url,video_title,video_core_content,video_target_sentiment,video_highlight,comment,commonsense,sarcasm_label,sarcasm_type,reasoning
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",picasso mà gặp được bác hồ là biết cách dùng cục gạch để sưởi ấm rồi,Năm 2024 là thời điểm người dùng xem video về cuộc đời và sự nghiệp của Picasso. Video có thể cung cấp thông tin mới và thú vị cho người xem.,Sarcastic,Hypothetical,"Giả định phi lý khi cho rằng Picasso dùng gạch để sưởi, mỉa mai thói trăng hoa, trái ngược hình tượng nghệ sĩ lớn."
youtube,KdiNMS4__w4,https://www.youtube.com/watch?v=KdiNMS4__w4,Thạch Trang my20s: Bộ Mặt Thật Của Nàng Thơ Du Học Sinh Đức,"Video dài 48 phút của YouTuber Yo Bae bóc trần toàn bộ các góc khuất tiêu cực và bộ mặt thật đằng sau hình ảnh 'nàng thơ du học sinh Đức' hoàn hảo của YouTuber Thạch Trang my20s, từ lùm xùm đời tư đến thái độ bóc lột cộng tác viên và đạo nhái nghệ thuật. Điểm lại drama tình cảm tay ba phức tạp liên quan đến Thạch Trang và phân tích chiến dịch truyền thông bài bản nhằm 'tẩy trắng', xây dựng lại hình tượng trong sáng trên mạng xã hội. Vạch trần các bê bối hậu trường bao gồm việc tranh chấp cướp tên kênh YouTube, thảm họa tổ chức buổi Meet & Greet thu phí cao nhưng chất lượng tồi tệ, và sự mập mờ, thiếu minh bạch trong các minigame Giveaway tặng quà fan. Đưa ra bằng chứng về thái độ làm việc trịch thượng, thiếu chuyên nghiệp và hành vi đối xử bất công, quỵt tiền hoặc bóc lột sức lao động đối với các cộng tác viên, thiết kế đứng sau hỗ trợ cô. Phơi bày bằng chứng không thể chối cãi về việc Thạch Trang đạo nhái nghệ thuật (hành vi trace - vẽ đè lên tranh của họa sĩ nước ngoài) để sản xuất vật phẩm (merch) bán kiếm lời, cùng cách xử lý khủng hoảng giả tạo theo kiểu 'chỉ xin lỗi vì đã bị phát hiện'.",negative,"Bằng chứng trace (vẽ đè) tranh của họa sĩ nước ngoài để bán merch, xử lý khủng hoảng truyền thông theo kiểu ""xin lỗi vì bị phát hiện"".",cuốn vãi lồn,"Người bình luận cho rằng giới trẻ đang bị thần tượng hóa một cách thái quá và không có căn cứ đối với Thạch Trang, một người mà họ cho là rất bình thường.",Non-Sarcastic,,"Biểu cảm cảm xúc trực tiếp, khen sự hấp dẫn của video, không có lớp ẩn ý mỉa mai hay mâu thuẫn ngữ cảnh."
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",hành trình cắm sừng xuyên cuộc đời của picasso,Từ 'cắm sừng' là một tiếng lóng chỉ hành vi ngoại tình. Pablo Picasso được biết đến với nhiều mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' trong cuộc đời ông.,Sarcastic,Propositional Contradiction,"Khen ngợi 'hành trình' như thành tựu, nhưng thực chất là chê bai thói trăng hoa, mâu thuẫn với đạo đức xã hội."
tiktok,7628919104874892562,https://www.tiktok.com/@trugduccafein/video/7628919104874892562?is_from_webapp=1,Tuyển dụng nhân sự cho Muội Boutique Retreat =))) #trugduc #fyp #muoi...,"Video là một đoạn talking head kết hợp skit tại khu vực sân trước của quán Muội Coffee. Chủ quán ngồi nói về tiêu chí tuyển dụng của quán, trong khi phía sau có một cậu bé liên tục trồng cây chuối, giữ thăng bằng và nhào lộn. Video cũng cắt sang cảnh một bạn nữ cầm nhiều huy chương vàng, được giới thiệu như một thành viên có thành tích thể thao. Phụ đề tiếng Việt chạy khớp theo lời nói, có highlight các từ khóa chính như “tiêu chí tuyển dụng”, “rất đơn giản”, “hơn 20 cái huy chương”. Góc quay chủ yếu là chính diện người nói, xen kẽ các cảnh cận huy chương và cảnh quay xoay để bắt động tác nhào lộn phía sau. Âm thanh là lời nói trực tiếp tiếng Việt với nhịp kể đều, kèm tiếng động hiện trường trong quán.",positive,Bối cảnh sân trước Muội Coffee; chủ quán nói về tuyển dụng; phía sau có cậu bé nhào lộn; một nhân viên cầm nhiều huy chương vàng; phụ đề tiếng Việt highlight từ khóa theo lời nói.,chồng chóng trễ nè nobita,"Từ 'chồng chóng' là một cách nói chơi, ám chỉ sự nhanh chóng hoặc gấp gáp. Trong bình luận, người dùng đang nói về một nhân vật tên Nobita, có thể là một nhân vật trong một bộ truyện hoặc phim hoạt hình.",Sarcastic,Lexical Contradiction,"Dùng 'chồng chóng' (nhanh) để chỉ hành động trễ, mâu thuẫn từ vựng, đá xéo sự chậm trễ của Nobita."
youtube,5Augh75jX6g,https://www.youtube.com/watch?v=5Augh75jX6g,HIGHLIGHTS: ARSENAL - BOURNEMOUTH,"Diễn biến toàn bộ trận đấu bóng đá kịch tính giữa Arsenal và Bournemouth. Arsenal (đội cửa trên) được kỳ vọng sẽ giành chiến thắng dễ dàng nhưng đã vấp phải sự kháng cự mãnh liệt và suýt bị cầm hòa hoặc thua, gây tâm lý căng thẳng tột độ cho người hâm mộ trước khi có màn lội ngược dòng may mắn. Arsenal kiểm soát hoàn toàn thế trận trong hiệp 1, dồn ép đối thủ và nhanh chóng có bàn thắng vươn lên dẫn trước nhờ sự áp đảo của hàng công. Bournemouth bất ngờ vùng lên mạnh mẽ vào đầu hiệp 2, khai thác các lỗ hổng phòng ngự bất cẩn của Arsenal để ghi bàn gỡ hòa khiến thế trận đảo chiều. Trận đấu được đẩy lên đỉnh điểm với một pha thổi penalty đầy tranh cãi từ trọng tài, tạo ra làn sóng phản đối dữ dội từ ban huấn luyện và cầu thủ Arsenal. Những phút bù giờ cuối cùng đầy nghẹt thở, Arsenal ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật, giải tỏa áp lực nhưng để lại nhiều hoài nghi về phong độ phòng ngự.",negative,"Những sai lầm phòng ngự của Arsenal, pha penalty gây tranh cãi và cú lội ngược dòng đầy may mắn/khó khăn của đội chủ nhà.",thay teta được rồi,"Cụm từ 'thay teta được rồi' có thể được hiểu là một cách nói về việc thay thế hoặc điều chỉnh chiến thuật trong trận đấu. Trong những phút bù giờ cuối cùng, Arsenal đã ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật.",Sarcastic,Lexical Contradiction,"Lời khen 'được rồi' khi Arsenal thắng chật vật, mâu thuẫn với thực tế phòng ngự tệ, thể hiện châm biếm."
tiktok,7628876598191623432,https://www.tiktok.com/@bbs.house/video/7628876598191623432?is_from_webapp=1,Là sao nữaaa. #homestaystaycation #homestayvinhlong #bbshouse #vinhlo...,"Video sử dụng các meme mèo được cắt ghép trên nền bối cảnh ban công để mô tả những trạng thái cảm xúc thay đổi của một cô gái trong mối quan hệ lâu dài. Một nhân vật mèo đại diện cho “tôi” đứng khá tĩnh, trong khi nhân vật mèo còn lại đại diện cho “ẻm” thay đổi liên tục qua nhiều biểu cảm và hành động. Text overlay mở đầu bằng câu “Pov: Quen nhau đủ lâu để thấy đủ nhân cách của em”, sau đó là các câu thoại như “A có iu pe hăm?”, “Đêm nay anh là của tôiiii”, “Hình như anh hết thương em rùi!” và “Biến đi thằng choá”. Video không có người thật xuất hiện, toàn bộ diễn biến dựa trên hình mèo, text và hiệu ứng âm thanh. Âm thanh thay đổi theo từng phân cảnh, gồm tiếng cười, tiếng khóc, âm thanh trẻ con và các hiệu ứng hành động ở đoạn cuối.",positive,Meme mèo trên nền ban công; nhân vật “tôi” đứng yên còn nhân vật “ẻm” thay đổi liên tục; text overlay dùng teencode và câu thoại tình cảm; hiệu ứng âm thanh chuyển nhanh theo từng trạng thái.,à ấy đã thấy được hết bộ mặt của tôi :grinning_face_with_sweat:,"Câu 'à ấy đã thấy được hết bộ mặt của tôi' có thể được hiểu là 'à, người ấy đã thấy được hết con người của tôi'. Biểu tượng :grinning_face_with_sweat: đại diện cho việc cười và流汗.",Sarcastic,Propositional Contradiction,"Tự nhận 'bộ mặt' thật là xấu xa, dùng biểu cảm cười để che đậy, mỉa mai chính mình trong mối quan hệ đổ vỡ."
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",chúc anh luôn mạnh và ra video mỗi ngày,Bình luận này thể hiện sự ủng hộ và khích lệ đối với người tạo video. Người tạo video đã làm việc chăm chỉ để tạo ra nội dung về cuộc đời và sự nghiệp của Pablo Picasso.,Non-Sarcastic,,"Lời chúc tích cực, phù hợp với nội dung video công phu, không có dấu hiệu mỉa mai hay mâu thuẫn."
youtube,toJjgQgBwx0,https://www.youtube.com/watch?v=toJjgQgBwx0,Vạch Trần Toàn Bộ Chiêu Trò Của Gia Đình Tai Tiếng Nhất Cõi Mạng,"Video phân tích và bóc phốt dài gần 1 tiếng của YouTuber Yo Bae, vạch trần một cách hệ thống chuỗi chiêu trò truyền thông, drama bẩn và cách làm marketing bất chấp đạo đức của gia đình Nala (gồm Ông Bố Điên, Tớ Là Lộc, Nàng Mơ) nhằm câu view, tạo tiếng vang thương mại cho khu nghỉ dưỡng của họ. Giới thiệu các thành viên trong gia đình Nala (Lê Hồng Kiên, Lê Xuân Lộc, Trà My) và cách họ xây dựng hình tượng gia đình hạnh phúc nhưng đầy thị phi để thu hút sự chú ý của cộng đồng mạng. Phân tích và đưa ra bằng chứng về các trò lừa dối dư luận như việc Lê Xuân Lộc bất ngờ công khai giới tính là nữ (Thục San) và cách cư xử quá mức thân mật, gây phản cảm giữa các thành viên. Vạch trần các bê bối nội bộ và lùm xùm nhân sự tại khu nghỉ dưỡng của gia đình, bao gồm vụ phốt bớt xén lương nhân viên và chiến dịch tuyển dụng 'tình nguyện viên không lương' mang tính bóc lột. Tổng kết về văn hóa 'ráng tạo nội dung' bất chấp đạo đức gia đình để làm truyền thông thương mại, đồng thời đưa ra lời cảnh báo thức tỉnh cộng đồng mạng trước các chiêu trò dẫn dắt dư luận.",negative,"Giả giới tính (Thục San), tin đồn ""luận"" giữa anh em, bóc phốt bớt xén lương và tuyển tình nguyện viên làm không công.",thế mà hoa hậu,"Từ 'hoa hậu' thường được sử dụng để chỉ một người phụ nữ xinh đẹp và có vẻ ngoài quyến rũ. Trong bình luận này, người dùng có thể đang ám chỉ rằng một thành viên trong gia đình Nala có vẻ ngoài xinh đẹp như một hoa hậu.",Sarcastic,Lexical Contradiction,"Gọi 'hoa hậu' nhưng ngụ ý chê bai, mỉa mai vẻ ngoài hoặc hành vi phản cảm, trái với hình tượng danh giá."
youtube,toJjgQgBwx0,https://www.youtube.com/watch?v=toJjgQgBwx0,Vạch Trần Toàn Bộ Chiêu Trò Của Gia Đình Tai Tiếng Nhất Cõi Mạng,"Video phân tích và bóc phốt dài gần 1 tiếng của YouTuber Yo Bae, vạch trần một cách hệ thống chuỗi chiêu trò truyền thông, drama bẩn và cách làm marketing bất chấp đạo đức của gia đình Nala (gồm Ông Bố Điên, Tớ Là Lộc, Nàng Mơ) nhằm câu view, tạo tiếng vang thương mại cho khu nghỉ dưỡng của họ. Giới thiệu các thành viên trong gia đình Nala (Lê Hồng Kiên, Lê Xuân Lộc, Trà My) và cách họ xây dựng hình tượng gia đình hạnh phúc nhưng đầy thị phi để thu hút sự chú ý của cộng đồng mạng. Phân tích và đưa ra bằng chứng về các trò lừa dối dư luận như việc Lê Xuân Lộc bất ngờ công khai giới tính là nữ (Thục San) và cách cư xử quá mức thân mật, gây phản cảm giữa các thành viên. Vạch trần các bê bối nội bộ và lùm xùm nhân sự tại khu nghỉ dưỡng của gia đình, bao gồm vụ phốt bớt xén lương nhân viên và chiến dịch tuyển dụng 'tình nguyện viên không lương' mang tính bóc lột. Tổng kết về văn hóa 'ráng tạo nội dung' bất chấp đạo đức gia đình để làm truyền thông thương mại, đồng thời đưa ra lời cảnh báo thức tỉnh cộng đồng mạng trước các chiêu trò dẫn dắt dư luận.",negative,"Giả giới tính (Thục San), tin đồn ""luận"" giữa anh em, bóc phốt bớt xén lương và tuyển tình nguyện viên làm không công.",bạn này giỏi vãi cả lồn tư duy sắc bén lập luận chặt chẽ thần thái tự tin có sự đồng cảm lớn từ cộng đồng nó đã gì đâu :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,Từ 'tư duy sắc bén' chỉ khả năng suy nghĩ và phân tích thông tin một cách nhanh chóng và chính xác. YouTuber Yo Bae đã sử dụng khả năng này để phân tích và chỉ ra các bê bối của gia đình Nala.,Sarcastic,Lexical Contradiction,"Khen 'giỏi vãi lồn' kết hợp biểu cảm cười, mâu thuẫn từ vựng – dùng khen để chê, chế giễu thái độ tự phụ."
tiktok,7628919104874892562,https://www.tiktok.com/@trugduccafein/video/7628919104874892562?is_from_webapp=1,Tuyển dụng nhân sự cho Muội Boutique Retreat =))) #trugduc #fyp #muoi...,"Video là một đoạn talking head kết hợp skit tại khu vực sân trước của quán Muội Coffee. Chủ quán ngồi nói về tiêu chí tuyển dụng của quán, trong khi phía sau có một cậu bé liên tục trồng cây chuối, giữ thăng bằng và nhào lộn. Video cũng cắt sang cảnh một bạn nữ cầm nhiều huy chương vàng, được giới thiệu như một thành viên có thành tích thể thao. Phụ đề tiếng Việt chạy khớp theo lời nói, có highlight các từ khóa chính như “tiêu chí tuyển dụng”, “rất đơn giản”, “hơn 20 cái huy chương”. Góc quay chủ yếu là chính diện người nói, xen kẽ các cảnh cận huy chương và cảnh quay xoay để bắt động tác nhào lộn phía sau. Âm thanh là lời nói trực tiếp tiếng Việt với nhịp kể đều, kèm tiếng động hiện trường trong quán.",positive,Bối cảnh sân trước Muội Coffee; chủ quán nói về tuyển dụng; phía sau có cậu bé nhào lộn; một nhân viên cầm nhiều huy chương vàng; phụ đề tiếng Việt highlight từ khóa theo lời nói.,hay hát thức,"Cụm từ 'hay hát thức' có thể được hiểu là 'thích hát' hoặc 'hay hát'. Trong video, có một bạn nữ được giới thiệu như một thành viên có thành tích thể thao và cầm nhiều huy chương vàng.",Non-Sarcastic,,"Có thể là lỗi chính tả của 'hay hát thôi', diễn giải bình thường, không đủ cơ sở xác định mỉa mai."
