platform,video_id,video_url,video_title,video_core_content,video_target_sentiment,video_highlight,comment,commonsense,sarcasm_label,sarcasm_type,reasoning
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",picasso mà gặp được bác hồ là biết cách dùng cục gạch để sưởi ấm rồi,Năm 2024 là thời điểm người dùng xem video về cuộc đời và sự nghiệp của Picasso. Video có thể cung cấp thông tin mới và thú vị cho người xem.,Sarcastic,Hypothetical,"Bình luận giả định một tình huống phi lý (Picasso gặp Bác Hồ) và sử dụng hình ảnh ẩn dụ 'dùng cục gạch để sưởi ấm' – một hành vi vô nghĩa hoặc nguy hiểm – để mỉa mai về nhân cách đào hoa, thiếu đạo đức của Picasso. Đây là một giả định phóng đại, phi logic nhằm châm biếm, phù hợp với loại 'Hypothetical'."
youtube,KdiNMS4__w4,https://www.youtube.com/watch?v=KdiNMS4__w4,Thạch Trang my20s: Bộ Mặt Thật Của Nàng Thơ Du Học Sinh Đức,"Video dài 48 phút của YouTuber Yo Bae bóc trần toàn bộ các góc khuất tiêu cực và bộ mặt thật đằng sau hình ảnh 'nàng thơ du học sinh Đức' hoàn hảo của YouTuber Thạch Trang my20s, từ lùm xùm đời tư đến thái độ bóc lột cộng tác viên và đạo nhái nghệ thuật. Điểm lại drama tình cảm tay ba phức tạp liên quan đến Thạch Trang và phân tích chiến dịch truyền thông bài bản nhằm 'tẩy trắng', xây dựng lại hình tượng trong sáng trên mạng xã hội. Vạch trần các bê bối hậu trường bao gồm việc tranh chấp cướp tên kênh YouTube, thảm họa tổ chức buổi Meet & Greet thu phí cao nhưng chất lượng tồi tệ, và sự mập mờ, thiếu minh bạch trong các minigame Giveaway tặng quà fan. Đưa ra bằng chứng về thái độ làm việc trịch thượng, thiếu chuyên nghiệp và hành vi đối xử bất công, quỵt tiền hoặc bóc lột sức lao động đối với các cộng tác viên, thiết kế đứng sau hỗ trợ cô. Phơi bày bằng chứng không thể chối cãi về việc Thạch Trang đạo nhái nghệ thuật (hành vi trace - vẽ đè lên tranh của họa sĩ nước ngoài) để sản xuất vật phẩm (merch) bán kiếm lời, cùng cách xử lý khủng hoảng giả tạo theo kiểu 'chỉ xin lỗi vì đã bị phát hiện'.",negative,"Bằng chứng trace (vẽ đè) tranh của họa sĩ nước ngoài để bán merch, xử lý khủng hoảng truyền thông theo kiểu ""xin lỗi vì bị phát hiện"".",cuốn vãi lồn,"Người bình luận cho rằng giới trẻ đang bị thần tượng hóa một cách thái quá và không có căn cứ đối với Thạch Trang, một người mà họ cho là rất bình thường.",Non-Sarcastic,None,"Bình luận 'cuốn vãi lồn' là một cách diễn đạt cảm xúc trực tiếp, thể hiện sự ấn tượng hoặc khen ngợi bằng ngôn ngữ tục tĩu, không có lớp nghĩa đối lập hay ẩn ý mỉa mai. Không có mâu thuẫn về ngữ nghĩa hay mệnh đề, do đó không phải là mỉa mai."
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",hành trình cắm sừng xuyên cuộc đời của picasso,Từ 'cắm sừng' là một tiếng lóng chỉ hành vi ngoại tình. Pablo Picasso được biết đến với nhiều mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' trong cuộc đời ông.,Sarcastic,Propositional Contradiction,"Bình luận 'hành trình cắm sừng xuyên cuộc đời của picasso' dùng cụm từ mang tính tiêu cực ('cắm sừng') để mô tả toàn bộ cuộc đời một danh họa, mâu thuẫn với kỳ vọng về một 'hành trình nghệ thuật vĩ đại'. Đây là sự mỉa mai ở cấp độ mệnh đề – dùng lời khen về quy mô để bao bọc một nội dung chỉ trích đời tư, phù hợp với 'Propositional Contradiction'."
tiktok,7628919104874892562,https://www.tiktok.com/@trugduccafein/video/7628919104874892562?is_from_webapp=1,Tuyển dụng nhân sự cho Muội Boutique Retreat =))) #trugduc #fyp #muoi...,"Video là một đoạn talking head kết hợp skit tại khu vực sân trước của quán Muội Coffee. Chủ quán ngồi nói về tiêu chí tuyển dụng của quán, trong khi phía sau có một cậu bé liên tục trồng cây chuối, giữ thăng bằng và nhào lộn. Video cũng cắt sang cảnh một bạn nữ cầm nhiều huy chương vàng, được giới thiệu như một thành viên có thành tích thể thao. Phụ đề tiếng Việt chạy khớp theo lời nói, có highlight các từ khóa chính như “tiêu chí tuyển dụng”, “rất đơn giản”, “hơn 20 cái huy chương”. Góc quay chủ yếu là chính diện người nói, xen kẽ các cảnh cận huy chương và cảnh quay xoay để bắt động tác nhào lộn phía sau. Âm thanh là lời nói trực tiếp tiếng Việt với nhịp kể đều, kèm tiếng động hiện trường trong quán.",positive,Bối cảnh sân trước Muội Coffee; chủ quán nói về tuyển dụng; phía sau có cậu bé nhào lộn; một nhân viên cầm nhiều huy chương vàng; phụ đề tiếng Việt highlight từ khóa theo lời nói.,chồng chóng trễ nè nobita,"Từ 'chồng chóng' là một cách nói chơi, ám chỉ sự nhanh chóng hoặc gấp gáp. Trong bình luận, người dùng đang nói về một nhân vật tên Nobita, có thể là một nhân vật trong một bộ truyện hoặc phim hoạt hình.",Sarcastic,Wh-Question,"Bình luận 'chồng chóng trễ nè nobita' là cách chơi chữ từ 'chóng' và 'trễ', ám chỉ sự trễ nải của nhân vật Nobita (trong Doraemon) trong khi cậu bé phía sau đang thực hiện động tác nhanh, khéo léo. Cấu trúc như một câu thông báo nhưng mang hàm ý hỏi móc mỉa: 'Sao lại trễ thế, Nobita?'. Đây là dạng 'Wh-Question' ngụy trang, dùng để châm biếm sự chậm chạp trong bối cảnh ngược lại."
youtube,5Augh75jX6g,https://www.youtube.com/watch?v=5Augh75jX6g,HIGHLIGHTS: ARSENAL - BOURNEMOUTH,"Diễn biến toàn bộ trận đấu bóng đá kịch tính giữa Arsenal và Bournemouth. Arsenal (đội cửa trên) được kỳ vọng sẽ giành chiến thắng dễ dàng nhưng đã vấp phải sự kháng cự mãnh liệt và suýt bị cầm hòa hoặc thua, gây tâm lý căng thẳng tột độ cho người hâm mộ trước khi có màn lội ngược dòng may mắn. Arsenal kiểm soát hoàn toàn thế trận trong hiệp 1, dồn ép đối thủ và nhanh chóng có bàn thắng vươn lên dẫn trước nhờ sự áp đảo của hàng công. Bournemouth bất ngờ vùng lên mạnh mẽ vào đầu hiệp 2, khai thác các lỗ hổng phòng ngự bất cẩn của Arsenal để ghi bàn gỡ hòa khiến thế trận đảo chiều. Trận đấu được đẩy lên đỉnh điểm với một pha thổi penalty đầy tranh cãi từ trọng tài, tạo ra làn sóng phản đối dữ dội từ ban huấn luyện và cầu thủ Arsenal. Những phút bù giờ cuối cùng đầy nghẹt thở, Arsenal ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật, giải tỏa áp lực nhưng để lại nhiều hoài nghi về phong độ phòng ngự.",negative,"Những sai lầm phòng ngự của Arsenal, pha penalty gây tranh cãi và cú lội ngược dòng đầy may mắn/khó khăn của đội chủ nhà.",thay teta được rồi,"Cụm từ 'thay teta được rồi' có thể được hiểu là một cách nói về việc thay thế hoặc điều chỉnh chiến thuật trong trận đấu. Trong những phút bù giờ cuối cùng, Arsenal đã ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật.",Sarcastic,Lexical Contradiction,"'Thay teta được rồi' là cách nói lái từ 'thay thái độ' hoặc 'thay chiến thuật', nhưng được dùng với giọng điệu như khen ngợi một điều hiển nhiên sau một trận đấu chật vật. Từ 'được rồi' mang sắc thái tình thái nhẹ, mỉa mai, trái ngược với căng thẳng và rắc rối thực tế của trận đấu – mâu thuẫn từ vựng rõ ràng, thuộc loại 'Lexical Contradiction'."
tiktok,7628876598191623432,https://www.tiktok.com/@bbs.house/video/7628876598191623432?is_from_webapp=1,Là sao nữaaa. #homestaystaycation #homestayvinhlong #bbshouse #vinhlo...,"Video sử dụng các meme mèo được cắt ghép trên nền bối cảnh ban công để mô tả những trạng thái cảm xúc thay đổi của một cô gái trong mối quan hệ lâu dài. Một nhân vật mèo đại diện cho “tôi” đứng khá tĩnh, trong khi nhân vật mèo còn lại đại diện cho “ẻm” thay đổi liên tục qua nhiều biểu cảm và hành động. Text overlay mở đầu bằng câu “Pov: Quen nhau đủ lâu để thấy đủ nhân cách của em”, sau đó là các câu thoại như “A có iu pe hăm?”, “Đêm nay anh là của tôiiii”, “Hình như anh hết thương em rùi!” và “Biến đi thằng choá”. Video không có người thật xuất hiện, toàn bộ diễn biến dựa trên hình mèo, text và hiệu ứng âm thanh. Âm thanh thay đổi theo từng phân cảnh, gồm tiếng cười, tiếng khóc, âm thanh trẻ con và các hiệu ứng hành động ở đoạn cuối.",positive,Meme mèo trên nền ban công; nhân vật “tôi” đứng yên còn nhân vật “ẻm” thay đổi liên tục; text overlay dùng teencode và câu thoại tình cảm; hiệu ứng âm thanh chuyển nhanh theo từng trạng thái.,à ấy đã thấy được hết bộ mặt của tôi :grinning_face_with_sweat:,"Câu 'à ấy đã thấy được hết bộ mặt của tôi' có thể được hiểu là 'à, người ấy đã thấy được hết con người của tôi'. Biểu tượng :grinning_face_with_sweat: đại diện cho việc cười và流汗.",Sarcastic,Lexical Contradiction,"Bình luận 'à ấy đã thấy được hết bộ mặt của tôi' kết hợp với biểu tượng cười toát mồ hôi :grinning_face_with_sweat: cho thấy sự thừa nhận 'bộ mặt thật' – thường mang nghĩa tiêu cực – nhưng lại được nói như một điều hài hước, nhẹ nhàng. Lời nói bề mặt như tự trào, nhưng mâu thuẫn với cảm xúc thật (xấu hổ, lo lắng), tạo mỉa mai qua từ 'bộ mặt' và thái độ giả vờ bình thản – thuộc 'Lexical Contradiction'."
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.",neutral,"Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.",chúc anh luôn mạnh và ra video mỗi ngày,Bình luận này thể hiện sự ủng hộ và khích lệ đối với người tạo video. Người tạo video đã làm việc chăm chỉ để tạo ra nội dung về cuộc đời và sự nghiệp của Pablo Picasso.,Sarcastic,Rhetorical Question,"Bình luận 'chúc anh luôn mạnh và ra video mỗi ngày' nghe như lời chúc tích cực, nhưng trong bối cảnh video châm biếm Picasso với góc nhìn mỉa mai, nó mang hàm ý thách thức: 'liệu có thể duy trì được không?'. Cấu trúc như lời chúc nhưng thực chất là câu hỏi tu từ ngầm nghi ngờ tính bền vững, phù hợp với 'Rhetorical Question' – dùng hình thức tích cực để thể hiện sự hoài nghi."
youtube,toJjgQgBwx0,https://www.youtube.com/watch?v=toJjgQgBwx0,Vạch Trần Toàn Bộ Chiêu Trò Của Gia Đình Tai Tiếng Nhất Cõi Mạng,"Video phân tích và bóc phốt dài gần 1 tiếng của YouTuber Yo Bae, vạch trần một cách hệ thống chuỗi chiêu trò truyền thông, drama bẩn và cách làm marketing bất chấp đạo đức của gia đình Nala (gồm Ông Bố Điên, Tớ Là Lộc, Nàng Mơ) nhằm câu view, tạo tiếng vang thương mại cho khu nghỉ dưỡng của họ. Giới thiệu các thành viên trong gia đình Nala (Lê Hồng Kiên, Lê Xuân Lộc, Trà My) và cách họ xây dựng hình tượng gia đình hạnh phúc nhưng đầy thị phi để thu hút sự chú ý của cộng đồng mạng. Phân tích và đưa ra bằng chứng về các trò lừa dối dư luận như việc Lê Xuân Lộc bất ngờ công khai giới tính là nữ (Thục San) và cách cư xử quá mức thân mật, gây phản cảm giữa các thành viên. Vạch trần các bê bối nội bộ và lùm xùm nhân sự tại khu nghỉ dưỡng của gia đình, bao gồm vụ phốt bớt xén lương nhân viên và chiến dịch tuyển dụng 'tình nguyện viên không lương' mang tính bóc lột. Tổng kết về văn hóa 'ráng tạo nội dung' bất chấp đạo đức gia đình để làm truyền thông thương mại, đồng thời đưa ra lời cảnh báo thức tỉnh cộng đồng mạng trước các chiêu trò dẫn dắt dư luận.",negative,"Giả giới tính (Thục San), tin đồn ""luận"" giữa anh em, bóc phốt bớt xén lương và tuyển tình nguyện viên làm không công.",thế mà hoa hậu,"Từ 'hoa hậu' thường được sử dụng để chỉ một người phụ nữ xinh đẹp và có vẻ ngoài quyến rũ. Trong bình luận này, người dùng có thể đang ám chỉ rằng một thành viên trong gia đình Nala có vẻ ngoài xinh đẹp như một hoa hậu.",Sarcastic,Lexical Contradiction,"Cụm 'thế mà hoa hậu' sử dụng từ khen ngợi 'hoa hậu' – biểu tượng của sắc đẹp và danh giá – để nói về một thành viên trong gia đình Nala, vốn bị vạch trần là có hành vi phản cảm, đạo đức thấp. Sự mâu thuẫn giữa từ khen và hành vi bị phanh phui tạo ra mỉa mai rõ rệt, thuộc loại 'Lexical Contradiction'."
youtube,toJjgQgBwx0,https://www.youtube.com/watch?v=toJjgQgBwx0,Vạch Trần Toàn Bộ Chiêu Trò Của Gia Đình Tai Tiếng Nhất Cõi Mạng,"Video phân tích và bóc phốt dài gần 1 tiếng của YouTuber Yo Bae, vạch trần một cách hệ thống chuỗi chiêu trò truyền thông, drama bẩn và cách làm marketing bất chấp đạo đức của gia đình Nala (gồm Ông Bố Điên, Tớ Là Lộc, Nàng Mơ) nhằm câu view, tạo tiếng vang thương mại cho khu nghỉ dưỡng của họ. Giới thiệu các thành viên trong gia đình Nala (Lê Hồng Kiên, Lê Xuân Lộc, Trà My) và cách họ xây dựng hình tượng gia đình hạnh phúc nhưng đầy thị phi để thu hút sự chú ý của cộng đồng mạng. Phân tích và đưa ra bằng chứng về các trò lừa dối dư luận như việc Lê Xuân Lộc bất ngờ công khai giới tính là nữ (Thục San) và cách cư xử quá mức thân mật, gây phản cảm giữa các thành viên. Vạch trần các bê bối nội bộ và lùm xùm nhân sự tại khu nghỉ dưỡng của gia đình, bao gồm vụ phốt bớt xén lương nhân viên và chiến dịch tuyển dụng 'tình nguyện viên không lương' mang tính bóc lột. Tổng kết về văn hóa 'ráng tạo nội dung' bất chấp đạo đức gia đình để làm truyền thông thương mại, đồng thời đưa ra lời cảnh báo thức tỉnh cộng đồng mạng trước các chiêu trò dẫn dắt dư luận.",negative,"Giả giới tính (Thục San), tin đồn ""luận"" giữa anh em, bóc phốt bớt xén lương và tuyển tình nguyện viên làm không công.",bạn này giỏi vãi cả lồn tư duy sắc bén lập luận chặt chẽ thần thái tự tin có sự đồng cảm lớn từ cộng đồng nó đã gì đâu :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,Từ 'tư duy sắc bén' chỉ khả năng suy nghĩ và phân tích thông tin một cách nhanh chóng và chính xác. YouTuber Yo Bae đã sử dụng khả năng này để phân tích và chỉ ra các bê bối của gia đình Nala.,Sarcastic,Lexical Contradiction,"Bình luận khen ngợi 'giỏi vãi cả lồn', 'tư duy sắc bén', 'thần thái tự tin' nhưng lại kết thúc bằng biểu tượng cười lăn :face_with_tears_of_joy: và câu 'nó đã gì đâu', cho thấy đây là lời khen giả tạo, mỉa mai. Việc dùng loạt từ tích cực để mô tả hành vi bị chỉ trích (bóc lột, lừa dối) tạo mâu thuẫn từ vựng rõ ràng – thuộc 'Lexical Contradiction'."
tiktok,7628919104874892562,https://www.tiktok.com/@trugduccafein/video/7628919104874892562?is_from_webapp=1,Tuyển dụng nhân sự cho Muội Boutique Retreat =))) #trugduc #fyp #muoi...,"Video là một đoạn talking head kết hợp skit tại khu vực sân trước của quán Muội Coffee. Chủ quán ngồi nói về tiêu chí tuyển dụng của quán, trong khi phía sau có một cậu bé liên tục trồng cây chuối, giữ thăng bằng và nhào lộn. Video cũng cắt sang cảnh một bạn nữ cầm nhiều huy chương vàng, được giới thiệu như một thành viên có thành tích thể thao. Phụ đề tiếng Việt chạy khớp theo lời nói, có highlight các từ khóa chính như “tiêu chí tuyển dụng”, “rất đơn giản”, “hơn 20 cái huy chương”. Góc quay chủ yếu là chính diện người nói, xen kẽ các cảnh cận huy chương và cảnh quay xoay để bắt động tác nhào lộn phía sau. Âm thanh là lời nói trực tiếp tiếng Việt với nhịp kể đều, kèm tiếng động hiện trường trong quán.",positive,Bối cảnh sân trước Muội Coffee; chủ quán nói về tuyển dụng; phía sau có cậu bé nhào lộn; một nhân viên cầm nhiều huy chương vàng; phụ đề tiếng Việt highlight từ khóa theo lời nói.,hay hát thức,"Cụm từ 'hay hát thức' có thể được hiểu là 'thích hát' hoặc 'hay hát'. Trong video, có một bạn nữ được giới thiệu như một thành viên có thành tích thể thao và cầm nhiều huy chương vàng.",Sarcastic,Wh-Question,"'Hay hát thức' là cách chơi chữ từ 'hay hát' và 'thức', ngụ ý 'thích thức khuya để hát' hoặc 'hát thức tỉnh'. Trong bối cảnh giới thiệu thành tích thể thao, bình luận này lạc đề và mang tính châm biếm gián tiếp – như hỏi móc: 'Thế còn hát thì sao?'. Dạng câu hỏi ngụy trang, dùng từ sai ngữ cảnh để mỉa mai, thuộc 'Wh-Question'."
